# South Wall Test Measurement 1
# Number of axes: 3
# Additional notes:
#	device: Bartington Mag690-FL1000 serial 409
#	pos_unit: cm
#	scaling: 1000 mV/uT
#	power: Bartington SCU1
#	gain: 1x
#	input_mode: unbalanced
#	output_mode: unconditioned
#	mapping: {x:-x, y:-z, z:-y}
#	cyclotron: ON
#	degaussed: True
#	inverted_distances: False
#	offset_cm: 0
#
time (epoch),Bx (V),By (V),Bz (V),dBx (V),dBy (V),dBz (V),pos,orientation
1764633806.941116,0.43521,-0.28294,0.06715,0.00771,0.0168,0.0166,up,
1764633822.693911,0.43675,-0.28301,0.06797,0.01016,0.01684,0.01694,down,
1764633836.5461397,0.4363,-0.283,0.06745,0.00956,0.01677,0.01762,up,
1764633851.174625,0.43657,-0.28324,0.0671,0.00996,0.01683,0.01776,down,
1764633894.963193,0.43562,-0.28304,0.04379,0.00849,0.01678,0.02013,0,up
1764633943.2160995,0.43599,-0.28353,0.05657,0.0091,0.01684,0.02115,5,up
1764633960.5903976,0.43471,-0.28276,0.0668,0.00669,0.01679,0.01725,10,up
1764633977.530565,0.43541,-0.28345,0.06885,0.00808,0.01681,0.01223,15,up
1764633989.1041677,0.43505,-0.28309,0.0683,0.00726,0.01684,0.00876,20,up
1764634002.6663704,0.4349,-0.283,0.07009,0.00709,0.01683,0.01036,25,up
1764634014.90272,0.43539,-0.28357,0.07265,0.00805,0.01688,0.01285,30,up
1764634029.4404266,0.4354,-0.28377,0.08138,0.00807,0.01694,0.01655,35,up
1764634041.8215058,0.43526,-0.28388,0.08921,0.00781,0.017,0.0156,40,up
1764634056.349588,0.43514,-0.28574,0.09484,0.00757,0.01778,0.0124,45,up
1764634071.173127,0.43498,-0.28846,0.10145,0.00726,0.02009,0.02007,50,up
1764634082.213797,0.43466,-0.30452,0.14575,0.0064,0.02415,0.01655,55,up
1764634094.695103,0.43472,-0.3311,0.24167,0.00672,0.01734,0.0199,60,up
1764634108.1172116,0.44303,-0.35595,0.39438,0.01553,0.01802,0.01561,65,up
1764634121.9965796,0.47634,-0.41271,0.46899,0.02263,0.0162,0.00898,70,up
1764634133.342905,0.49992,-0.47288,0.48681,0.015,0.01354,0.01682,75,up
1764634146.346484,0.52021,-0.53668,0.48565,0.01671,0.01484,0.01673,80,up
1764634158.142875,0.55873,-0.58993,0.47794,0.02314,0.02223,0.01579,85,up
1764634170.658085,0.58297,-0.63377,0.46645,0.01696,0.00422,0.00686,90,up
1764634186.0743935,0.60249,-0.68592,0.4526,0.02528,0.01648,0.01914,95,up
1764634234.8923104,0.43539,-0.28296,0.03727,0.00804,0.01679,0.01698,100,up
1764634237.0125182,0.43515,-0.28314,0.02878,0.00762,0.0168,0.01311,105,up
1764634239.0486915,0.43622,-0.28334,0.02699,0.00943,0.0169,0.01386,110,up
1764634241.069774,0.43471,-0.28412,0.02664,0.0067,0.01704,0.014,115,up
