# South Wall Test Measurement 1
# Number of axes: 3
# Additional notes:
#	device: Bartington Mag13-MSL100 serial 835
#	pos_unit: cm
#	scaling: 100 mV/uT
#	power: Bartington SCU1
#	gain: 1x
#	input_mode: balanced
#	output_mode: unconditioned
#	mapping: {x:-x, y:-z, z:-y}
#	cyclotron: ON
#	degaussed: True
#	inverted_distances: False
#	offset_cm: 0
#
time (epoch),Bx (V),By (V),Bz (V),dBx (V),dBy (V),dBz (V),pos,orientation
1761345100.553901,2.6043,-0.961,0.2784,0.0818,0.0969,0.0784,up,
1761345118.39213,2.6138,-0.9584,0.2723,0.0791,0.0971,0.0803,down,
1761345126.9445636,2.5913,-0.9646,0.3082,0.0845,0.0956,0.0597,up,
1761345135.6558397,2.619,-0.9547,0.3093,0.0768,0.0982,0.0586,down,
1761345142.8422723,2.5825,-0.9557,0.3159,0.0858,0.098,0.0548,up,
1761345149.5751328,2.6199,-0.9571,0.3175,0.0766,0.0978,0.0562,down,
1761345158.0265331,2.5903,-0.9549,0.3233,0.0848,0.0982,0.063,up,
1761345170.3780568,2.6202,-0.9457,0.3458,0.0769,0.0996,0.0832,down,
1761345178.3403971,2.5971,-0.9611,0.3823,0.0835,0.097,0.098,up,
1761345186.8026593,2.6145,-0.9598,0.4253,0.0784,0.0973,0.0965,down,
1761345249.3652112,2.6009,-0.9534,0.172,0.0825,0.0985,0.0419,0,up
1761345256.9822376,2.5959,-0.9542,0.181,0.0836,0.0981,0.0511,1,up
1761345265.89456,2.599,-0.9559,0.1939,0.0831,0.0978,0.0638,2,up
1761345276.0184476,2.6039,-0.948,0.23,0.082,0.099,0.0812,3,up
1761345284.7301283,2.5912,-0.9517,0.2583,0.0846,0.0986,0.083,4,up
1761345292.3123477,2.5985,-0.9578,0.2829,0.0834,0.0974,0.0766,5,up
1761345298.8504057,2.6023,-0.9479,0.3035,0.0824,0.0993,0.0639,6,up
1761345308.2222788,2.5983,-0.9539,0.3098,0.0835,0.0982,0.0582,7,up
1761345316.584994,2.5971,-0.9604,0.3129,0.0835,0.0969,0.0554,8,up
