time (epoch),Bx (uT),Bz (uT),By (uT),dBx (uT),dBz (uT),dBy (uT),pos (cm)
1764634742.208581,-0.29649999999999954,2.500000000000002,-3.0809999999999995,0.835,2.046,1.989,120
1764634753.5268269,-0.08050000000000002,7.1120000000000045,-1.473,1.137,1.797,2.0869999999999997,115
1764634764.8282027,0.03250000000000197,9.406000000000002,-0.011999999999999511,1.252,2.248,1.544,110
1764634774.987492,0.08349999999999747,11.928000000000003,-0.014000000000000123,1.304,1.466,1.0710000000000002,105
1764634784.30953,0.08050000000000002,12.634000000000004,0.1899999999999999,1.3010000000000002,1.3419999999999999,1.0370000000000001,100
1764634795.0661206,-0.10249999999999981,12.333000000000002,0.3020000000000009,1.1119999999999999,1.3679999999999999,1.158,95
1764634804.0604205,-0.2124999999999988,13.118000000000002,0.6339999999999999,0.971,1.5110000000000001,1.419,90
1764634813.0362267,-0.1334999999999975,13.974000000000004,1.278,1.076,1.6920000000000002,1.6500000000000001,85
1764634821.7659955,-0.2045000000000019,14.171000000000003,2.341,0.979,1.67,1.447,80
1764634831.7556758,-0.2035000000000009,14.473000000000003,2.685,0.993,1.6400000000000001,1.236,75
1764634841.047611,-0.414500000000001,15.669000000000002,3.6530000000000005,0.59,2.0420000000000003,1.9849999999999999,70
1764634850.2936857,-0.5025000000000002,19.007,7.7170000000000005,0.33,0.697,1.6469999999999998,65
1764634858.8014607,-0.5585000000000007,23.049000000000003,17.204000000000004,0.445,2.1430000000000002,1.9040000000000001,60
1764634866.7675316,-0.49049999999999927,26.561,32.573,0.367,1.567,1.5939999999999999,55
1764634876.5983074,0.12949999999999906,27.764000000000006,40.247,1.3379999999999999,1.625,1.102,50
1764634884.2487595,2.092500000000003,21.630000000000006,42.03,2.344,1.422,1.6789999999999998,45
1764634892.219459,7.226499999999997,-2.7739999999999987,41.925000000000004,1.745,2.093,1.6680000000000001,40
1764634900.2011597,10.994500000000002,-23.637999999999998,41.292,2.185,2.009,1.656,35
